Time period,OrgCode,ParentOrgCode,Quarter,QuitStatus,Total
2018/19,E06000031,E12000006,1,Quit,205
2018/19,E06000031,E12000006,1,Quit CO,179
2018/19,E06000031,E12000006,1,Set quit date,408
2018/19,E06000031,E12000006,2,Not known,80
2018/19,E06000031,E12000006,2,Not quit,38
2018/19,E06000031,E12000006,2,Quit,189
2018/19,E06000031,E12000006,2,Quit CO,154
2018/19,E06000031,E12000006,2,Set quit date,307
2018/19,E06000031,E12000006,3,Not known,67
2018/19,E06000031,E12000006,3,Not quit,18
2018/19,E06000031,E12000006,3,Quit,190
2018/19,E06000031,E12000006,3,Quit CO,168
2018/19,E06000031,E12000006,3,Set quit date,275
2018/19,E06000031,E12000006,4,Not known,161
2018/19,E06000031,E12000006,4,Not quit,9
2018/19,E06000031,E12000006,4,Quit,130
2018/19,E06000031,E12000006,4,Quit CO,117
2018/19,E06000031,E12000006,4,Set quit date,300
2018/19,E06000032,E12000006,1,Not known,64
2018/19,E06000032,E12000006,1,Not quit,59
2018/19,E06000032,E12000006,1,Quit,132
2018/19,E06000032,E12000006,1,Quit CO,95
2018/19,E06000032,E12000006,1,Set quit date,255
2018/19,E06000032,E12000006,2,Not known,49
2018/19,E06000032,E12000006,2,Not quit,65
2018/19,E06000032,E12000006,2,Quit,106
2018/19,E06000032,E12000006,2,Quit CO,66
